unit_id	code	src_file	read_lines	user	assistant	tool	result	out_lines	status
P1.EX.001	A	20448e1f-de7f-4577-b03e-55c2ce0ba764.jsonl	1808	41	221	339	339	0	done
P1.EX.002	A	25c842ba-8c2f-49c7-8a9c-b4882f5c11f5.jsonl	38	1	4	7	7	0	done
P1.EX.003	A	2876ecf1-d813-45be-9511-b9b33dde61c0.jsonl	8	2	0	0	0	0	done
P1.EX.004	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105.jsonl	10695	234	1108	2163	2163	0	done
P1.EX.005	A	3e44d208-f851-46a7-8af2-255cc8a8e4d8.jsonl	394	17	48	42	42	0	done
P1.EX.006	A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a.jsonl	5615	115	561	990	988	0	done
P1.EX.007	A	84ad9997-4bbf-4945-b4f8-e23936415870.jsonl	39	1	5	8	8	0	done
P1.EX.008	A	84d7981e-264a-49f7-a8cf-88499c35cdca.jsonl	396	14	44	66	66	0	done
P1.EX.009	A	8ebe0853-dce5-49d1-8144-91bba44793cc.jsonl	19	4	0	0	0	0	done
P1.EX.010	A	fb685fff-28ed-468f-9900-b65d4ba6df1e.jsonl	57	1	8	12	12	0	done
P1.EX.011	B	08c0fcfc-af31-4315-b63f-2a9bc979f660.jsonl	57	5	5	2	2	0	done
P1.EX.012	B	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a.jsonl	2	0	0	0	0	0	done
P1.EX.013	B	a3cba1c5-60e6-45c0-adf4-905c62a95d88.jsonl	6	1	0	0	0	0	done
P1.EX.014	B	d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2.jsonl	35	2	2	3	3	0	done
P1.EX.015	C	00839156-1bc1-4b2d-896f-d0771e7ad688.jsonl	117	6	8	9	9	0	done
P1.EX.016	C	01ec31ad-f74d-4306-afd7-61163b47136f.jsonl	411	1	1	0	0	0	done
P1.EX.017	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d.jsonl	22024	768	2351	4720	4724	0	done
P1.EX.018	C	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952.jsonl	1136	83	183	317	317	0	done
P1.EX.019	C	0564428e-ed59-440b-a850-546fcb29a168.jsonl	1526	57	169	228	228	0	done
P1.EX.020	C	0b29d15c-1b75-47d9-9a63-ec8ff0ada889.jsonl	24	1	1	0	0	0	done
P1.EX.021	C	0bca339d-6a87-4a76-9271-9cddd9ef5803.jsonl	250	15	32	30	30	0	done
P1.EX.022	C	0c8b80bd-e0fc-4666-8822-68735db400f4.jsonl	3294	59	641	1050	1050	0	done
P1.EX.023	C	0ec580cf-bc0d-4a67-a9aa-cf4bb946280e.jsonl	17	3	0	0	0	0	done
P1.EX.024	C	10aedc0c-cf83-4041-b7bb-6cee81ab27dc.jsonl	2325	34	275	460	460	0	done
P1.EX.025	C	110c1190-82aa-4b23-84a1-7600796c5a83.jsonl	98	9	10	14	14	0	done
P1.EX.026	C	1535f738-8602-4408-871e-7ca21d444904.jsonl	862	71	90	250	250	0	done
P1.EX.027	C	15655181-d856-4044-b5dd-7b9bcaddf353.jsonl	93	2	8	21	21	0	done
P1.EX.028	C	1a61398e-000b-44ca-a571-574de1ae9b73.jsonl	954	24	110	206	206	0	done
P1.EX.029	C	1c3d2b50-6cd3-44d9-b05c-b0082f565b51.jsonl	1930	31	218	446	446	0	done
P1.EX.030	C	2243fda0-7fa6-4283-b6af-13506d834ee2.jsonl	8	2	0	0	0	0	done
P1.EX.031	C	23c2898e-e996-4090-ae8b-188917f20f27.jsonl	2673	220	429	750	750	0	done
P1.EX.032	C	24a5d05a-47a0-489a-a23d-d54529016eed.jsonl	9	3	0	0	0	0	done
