code	base	units_done	units_expected	in_blocks	kept	dropped	subset_ok	status
A	20448e1f-de7f-4577-b03e-55c2ce0ba764	2	2	873	840	33	1	DONE
A	25c842ba-8c2f-49c7-8a9c-b4882f5c11f5	1	1	15	3	12	1	DONE
A	2876ecf1-d813-45be-9511-b9b33dde61c0	1	1	3	1	2	1	DONE
A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	10	10	5183	4720	463	1	DONE
A	3e44d208-f851-46a7-8af2-255cc8a8e4d8	1	1	146	143	3	1	DONE
A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	5	5	2359	2140	219	1	DONE
A	84ad9997-4bbf-4945-b4f8-e23936415870	1	1	19	19	0	1	DONE
A	84d7981e-264a-49f7-a8cf-88499c35cdca	1	1	175	151	24	1	DONE
A	8ebe0853-dce5-49d1-8144-91bba44793cc	1	1	5	0	5	1	DONE
A	fb685fff-28ed-468f-9900-b65d4ba6df1e	1	1	29	29	0	1	DONE
B	08c0fcfc-af31-4315-b63f-2a9bc979f660	1	1	14	12	2	1	DONE
B	a3cba1c5-60e6-45c0-adf4-905c62a95d88	1	1	2	0	2	1	DONE
B	d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2	1	1	10	5	5	1	DONE
C	00839156-1bc1-4b2d-896f-d0771e7ad688	1	1	32	25	7	1	DONE
C	01ec31ad-f74d-4306-afd7-61163b47136f	1	1	2	2	0	1	DONE
C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	22	22	11594	8166	3428	1	DONE
C	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952	2	2	806	603	203	1	DONE
C	0564428e-ed59-440b-a850-546fcb29a168	3	3	630	580	50	1	DONE
C	0b29d15c-1b75-47d9-9a63-ec8ff0ada889	1	1	2	2	0	1	DONE
C	0bca339d-6a87-4a76-9271-9cddd9ef5803	1	1	107	35	72	1	DONE
C	0c8b80bd-e0fc-4666-8822-68735db400f4	4	4	2535	1219	1316	1	DONE
C	0ec580cf-bc0d-4a67-a9aa-cf4bb946280e	1	1	4	1	3	1	DONE
C	10aedc0c-cf83-4041-b7bb-6cee81ab27dc	2	2	1090	614	476	1	DONE
C	110c1190-82aa-4b23-84a1-7600796c5a83	1	1	45	21	24	1	DONE
C	1535f738-8602-4408-871e-7ca21d444904	1	1	614	533	81	1	DONE
C	15655181-d856-4044-b5dd-7b9bcaddf353	1	1	50	32	18	1	DONE
C	1a61398e-000b-44ca-a571-574de1ae9b73	1	1	532	525	7	1	DONE
C	1c3d2b50-6cd3-44d9-b05c-b0082f565b51	2	2	1043	872	171	1	DONE
C	2243fda0-7fa6-4283-b6af-13506d834ee2	1	1	3	0	3	1	DONE
C	23c2898e-e996-4090-ae8b-188917f20f27	4	4	1944	1870	74	1	DONE
C	24a5d05a-47a0-489a-a23d-d54529016eed	1	1	4	0	4	1	DONE
C	27bfc299-c0dc-4351-9e1a-d8111b297ebd	1	1	25	15	10	1	DONE
C	29d361e9-822f-425a-9d39-10ac1aca8798	1	1	57	43	14	1	DONE
C	2a59a100-2a84-4f75-8fa1-b65f07d96e25	1	1	12	12	0	1	DONE
C	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b	1	1	4	4	0	1	DONE
C	2f6b56db-f146-4079-b23b-65f9755911ce	1	1	636	76	560	1	DONE
C	2f8eee46-2595-4a8d-a1d3-6726e216102f	1	1	270	48	222	1	DONE
C	3169106b-5a63-42e7-9997-f7c57a05550b	1	1	134	130	4	1	DONE
C	3327ceb5-d6ab-48c4-ad82-67c41e60b351	3	3	1697	1016	681	1	DONE
C	34fbfb2f-741d-4b44-ba8c-aa9b28ab6f9a	1	1	657	460	197	1	DONE
C	373d8fec-39a7-450b-a648-3df04e21bb28	1	1	496	490	6	1	DONE
C	3a446d62-4a98-42d0-a225-643aaef6cce0	1	1	5	0	5	1	DONE
C	3a506496-4622-46d9-9ec0-11e909ea6fdd	1	1	192	72	120	1	DONE
C	44213247-5190-46d8-9bb4-41f274328155	1	1	23	9	14	1	DONE
C	49e38849-af53-455d-8588-b2fd42836ea4	1	1	64	62	2	1	DONE
C	49eecc56-d6c1-4fb8-af0b-86ea5862f3d5	1	1	373	308	65	1	DONE
C	4b73e14e-d47a-446d-88f7-7830a83d0049	1	1	3	0	3	1	DONE
C	4e229c07-e9e8-4ca8-b6fe-2824286b1a1b	1	1	48	23	25	1	DONE
C	4e8e244f-3e9d-4a64-8bb5-31db6c198800	1	1	2	2	0	1	DONE
C	4ebffa9c-ffa3-482c-97e5-b3bafac62c66	1	1	10	4	6	1	DONE
C	507e1672-294b-4f08-9db5-b76f5b4f12dd	1	1	283	224	59	1	DONE
C	5116a0c7-9381-416f-8255-c530b6a4958a	4	4	2126	873	1253	1	DONE
C	53ad0a8d-1559-452d-ae71-f62621215c5b	4	4	867	679	188	1	DONE
C	5428381a-2fc0-406f-9aa7-f9bb15e41a1b	3	3	1675	1106	569	1	DONE
C	5706c400-97a2-4203-b280-81b908c3fe4d	1	1	342	245	97	1	DONE
