code	base	pass2_blocks	pass3_blocks	user2	user3	subset_ok	status
A	20448e1f-de7f-4577-b03e-55c2ce0ba764	873	840	41	38	1	OK
A	25c842ba-8c2f-49c7-8a9c-b4882f5c11f5	15	3	1	1	1	OK
A	2876ecf1-d813-45be-9511-b9b33dde61c0	3	1	2	1	1	OK
A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	5183	4720	234	213	1	OK
A	3e44d208-f851-46a7-8af2-255cc8a8e4d8	146	143	17	16	1	OK
A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	2359	2140	115	114	1	OK
A	84ad9997-4bbf-4945-b4f8-e23936415870	19	19	1	1	1	OK
A	84d7981e-264a-49f7-a8cf-88499c35cdca	175	151	14	14	1	OK
A	8ebe0853-dce5-49d1-8144-91bba44793cc	5	0	4	0	1	OK
A	fb685fff-28ed-468f-9900-b65d4ba6df1e	29	29	1	1	1	OK
B	08c0fcfc-af31-4315-b63f-2a9bc979f660	14	12	5	4	1	OK
B	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	0	0	0	0	1	NA_empty
B	a3cba1c5-60e6-45c0-adf4-905c62a95d88	2	0	1	0	1	OK
B	d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2	10	5	2	2	1	OK
C	00839156-1bc1-4b2d-896f-d0771e7ad688	32	25	6	4	1	OK
C	01ec31ad-f74d-4306-afd7-61163b47136f	2	2	1	1	1	OK
C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	11594	8166	768	753	1	OK
C	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952	806	603	83	77	1	OK
C	0564428e-ed59-440b-a850-546fcb29a168	630	580	57	32	1	OK
C	0b29d15c-1b75-47d9-9a63-ec8ff0ada889	2	2	1	1	1	OK
C	0bca339d-6a87-4a76-9271-9cddd9ef5803	107	35	15	12	1	OK
C	0c8b80bd-e0fc-4666-8822-68735db400f4	2535	1219	59	59	1	OK
C	0ec580cf-bc0d-4a67-a9aa-cf4bb946280e	4	1	3	1	1	OK
C	10aedc0c-cf83-4041-b7bb-6cee81ab27dc	1090	614	34	31	1	OK
C	110c1190-82aa-4b23-84a1-7600796c5a83	45	21	9	7	1	OK
C	1535f738-8602-4408-871e-7ca21d444904	614	533	71	71	1	OK
C	15655181-d856-4044-b5dd-7b9bcaddf353	50	32	2	1	1	OK
C	1a61398e-000b-44ca-a571-574de1ae9b73	532	525	24	23	1	OK
C	1c3d2b50-6cd3-44d9-b05c-b0082f565b51	1043	872	31	31	1	OK
C	2243fda0-7fa6-4283-b6af-13506d834ee2	3	0	2	0	1	OK
C	23c2898e-e996-4090-ae8b-188917f20f27	1944	1870	220	217	1	OK
C	24a5d05a-47a0-489a-a23d-d54529016eed	4	0	3	0	1	OK
C	27bfc299-c0dc-4351-9e1a-d8111b297ebd	25	15	4	4	1	OK
C	29d361e9-822f-425a-9d39-10ac1aca8798	57	43	24	22	1	OK
C	2a59a100-2a84-4f75-8fa1-b65f07d96e25	12	12	1	1	1	OK
C	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b	4	4	2	2	1	OK
C	2f623bdd-a2f2-4b37-abac-cb5703041433	0	0	0	0	1	NA_empty
C	2f6b56db-f146-4079-b23b-65f9755911ce	636	76	22	22	1	OK
C	2f8eee46-2595-4a8d-a1d3-6726e216102f	270	48	19	19	1	OK
C	3169106b-5a63-42e7-9997-f7c57a05550b	134	130	63	59	1	OK
C	3327ceb5-d6ab-48c4-ad82-67c41e60b351	1697	1016	140	135	1	OK
C	34fbfb2f-741d-4b44-ba8c-aa9b28ab6f9a	657	460	69	69	1	OK
C	373d8fec-39a7-450b-a648-3df04e21bb28	496	490	31	31	1	OK
C	3a446d62-4a98-42d0-a225-643aaef6cce0	5	0	4	0	1	OK
C	3a506496-4622-46d9-9ec0-11e909ea6fdd	192	72	8	8	1	OK
C	44213247-5190-46d8-9bb4-41f274328155	23	9	2	2	1	OK
C	49e38849-af53-455d-8588-b2fd42836ea4	64	62	23	23	1	OK
C	49eecc56-d6c1-4fb8-af0b-86ea5862f3d5	373	308	32	32	1	OK
C	4b73e14e-d47a-446d-88f7-7830a83d0049	3	0	2	0	1	OK
C	4e229c07-e9e8-4ca8-b6fe-2824286b1a1b	48	23	8	7	1	OK
C	4e8e244f-3e9d-4a64-8bb5-31db6c198800	2	2	1	1	1	OK
C	4ebffa9c-ffa3-482c-97e5-b3bafac62c66	10	4	2	1	1	OK
C	507e1672-294b-4f08-9db5-b76f5b4f12dd	283	224	22	22	1	OK
C	5116a0c7-9381-416f-8255-c530b6a4958a	2126	873	164	161	1	OK
C	53ad0a8d-1559-452d-ae71-f62621215c5b	867	679	48	44	1	OK
C	5428381a-2fc0-406f-9aa7-f9bb15e41a1b	1675	1106	59	59	1	OK
C	5706c400-97a2-4203-b280-81b908c3fe4d	342	245	23	23	1	OK
C	5c1ede59-cf31-44b1-8321-2e8ae3fb4ddb	612	367	36	35	1	OK
C	5c7671d8-9fd1-4b6a-b511-e9159c0aaf41	2	0	1	0	1	OK
C	5dfe7cdf-2dff-49b6-a023-556ef9f5b8a3	1622	1444	153	148	1	OK
C	5e2939ac-00ed-4e94-aab5-f715b5287ed0	1240	1156	136	125	1	OK
