code	dir	file	bytes	lines	size_class	chunk_needed	chunk_count
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	20448e1f-de7f-4577-b03e-55c2ce0ba764.jsonl	4929019	1808	large	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	25c842ba-8c2f-49c7-8a9c-b4882f5c11f5.jsonl	131016	38	small	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	2876ecf1-d813-45be-9511-b9b33dde61c0.jsonl	2990	8	tiny	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105.jsonl	31712029	10695	huge	1	6
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	3e44d208-f851-46a7-8af2-255cc8a8e4d8.jsonl	719387	394	med	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a.jsonl	15672595	5498	huge	1	3
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	84ad9997-4bbf-4945-b4f8-e23936415870.jsonl	149363	39	small	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	84d7981e-264a-49f7-a8cf-88499c35cdca.jsonl	571981	308	med	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	8ebe0853-dce5-49d1-8144-91bba44793cc.jsonl	30414	19	tiny	0	1
A	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui	fb685fff-28ed-468f-9900-b65d4ba6df1e.jsonl	200834	57	small	0	1
B	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui-worktrees-feat-integrate-sui-dibang-inyeon	08c0fcfc-af31-4315-b63f-2a9bc979f660.jsonl	110503	57	small	0	1
B	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui-worktrees-feat-integrate-sui-dibang-inyeon	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a.jsonl	264	2	tiny	0	1
B	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui-worktrees-feat-integrate-sui-dibang-inyeon	a3cba1c5-60e6-45c0-adf4-905c62a95d88.jsonl	3025	6	tiny	0	1
B	-Users-taewonpark-Github-WORK-GoraeUniverse-dibang-sui-worktrees-feat-integrate-sui-dibang-inyeon	d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2.jsonl	82216	35	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	00839156-1bc1-4b2d-896f-d0771e7ad688.jsonl	203462	117	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	01ec31ad-f74d-4306-afd7-61163b47136f.jsonl	86984	411	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	0264e996-bc1f-4e0c-86f3-2662f4aba27d.jsonl	78202253	22024	huge	1	12
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952.jsonl	5357614	1136	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	0564428e-ed59-440b-a850-546fcb29a168.jsonl	3436900	1526	large	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	0b29d15c-1b75-47d9-9a63-ec8ff0ada889.jsonl	48308	24	tiny	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	0bca339d-6a87-4a76-9271-9cddd9ef5803.jsonl	410092	250	small	0	1
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	0c8b80bd-e0fc-4666-8822-68735db400f4.jsonl	14782787	3294	huge	1	2
C	-Users-taewonpark-Github-WORK-GoraeUniverse-digital-guestbook-v3	0ec580cf-bc0d-4a67-a9aa-cf4bb946280e.jsonl	23693	17	tiny	0	1
